system,candidates_evaluated,hit@5,hit@10,MRR,nDCG@5,nDCG@10
BM25,78,0.10256410256410256,0.14102564102564102,0.09026130850843495,0.0858017444258501,0.09691962236115348
Dense-MiniLM,78,0.02564102564102564,0.038461538461538464,0.016016640219850966,0.013000078051739064,0.017273582325243335
