method,hit@5,hit@10,mrr,ndcg@5,ndcg@10,num_candidates,num_jobs,evaluation_type,mean_latency_ms,median_latency_ms,p95_latency_ms
BM25,0.10256410256410256,0.1282051282051282,0.09294915587750885,0.07903743368422211,0.08255994491734495,78,2082,sparse judged gold evaluation,30.14156282052938,24.914950000493263,63.38468000049033
Dense-MiniLM,0.02564102564102564,0.038461538461538464,0.01946423687969251,0.011992855403411617,0.016266359676915892,78,2082,sparse judged gold evaluation,21.82891538458511,19.801600000391772,34.791634999555754
RRF,0.02564102564102564,0.08974358974358974,0.04545977004351791,0.022912238499884257,0.0389732365426312,78,2082,sparse judged gold evaluation,1.9213230769030185,1.8380000005890906,2.532309999332938
XGBoost-LTR,0.08974358974358974,0.10256410256410256,0.06659497253839604,0.05956659598045561,0.0632725552922234,78,2082,sparse judged gold evaluation,3019.845720512794,2816.731549999986,5439.089229999126
XGBoost-LTR-no-location,0.10256410256410256,0.15384615384615385,0.08505455170714041,0.07202543364510862,0.08719194318802821,78,2082,sparse judged gold evaluation,3019.7911076923515,2816.8211500001235,5438.152974999729
